issue_number,title,category,is_merged
"17775","BUG: Fixed file handle leak in array_tofile.","Bug,Backport","True"
"17774","BUG: fix np.timedelta64('nat').__format__ throwing an exception","Bug,Backport","True"
"17773","MAINT: Add BLD and STY to labeler prefixes.","Maintenance","True"
"17768","MAINT: update link to website in FUNDING.yml","Maintenance","True"
"17763","SIMD, BUG: fix reuses the previous values during the fallback to libc","Bug","True"
"17759","BLD: use BUFFERSIZE=20 in OpenBLAS","Backport-Candidate,Build","True"
"17758","BLD: Lazy load f2py test utilities","None","True"
"17756","BUG: Fix segfault due to out of bound pointer in floatstatus check","Bug,Backport","True"
"17755","BUG: Fix memory leaks found using valgrind","Bug,Testing","True"
"17754","DOC, TST: avoid refcount semantics in using numpy.memmap","Documentation,Testing","True"
"17753","BUG: Fix buffer export dtype references","Bug","True"
"17751","BUG: Fix segfault due to out of bound pointer in floatstatus check","Bug","True"
"17750","CI: See if I can run GDB on the failing CI job.","None","False"
"17749","DOC: Add "performance" category to the release notes","Documentation","True"
"17748","BLD: compare platform.architecture() correctly","None","True"
"17745","TST: add pypy3.7","Testing,PyPy","True"
"17740","MAINT: Bump hypothesis from 5.41.0 to 5.41.2","Maintenance","True"
"17739","BLD: Create build_test.yml","","False"
"17738","BLD, TST: move linux jobs to github actions","Testing","True"
"17735","TST: Remove Python 3.6 CI testing.","Maintenance,Testing","True"
"17733","MAINT: ma: Remove unused `**options` from MaskedArray `__new__` method.","Maintenance","True"
"17732","BLD: Don't load numpy.testing from f2py toplevel","None","False"
"17730","BLD: disable f2py test if not available","None","False"
"17729","BLD: Use importlib to find numpy root directory in distutils","None","True"
"17723","MAINT: Do not override `sliding_window_view` module to `numpy`","Maintenance","True"
"17720","API: Do not import sliding_window_view to main namespace","API","True"
"17717","MAINT: Add more files to `.gitgnore`","Maintenance","True"
"17715","REV: Revert gh-17654 - f2py incorrectly translates dimension declarations. ","Reversion","True"
"17711","ENH: adds type hints to numpy.version","Enhancement,static typing","True"
"17708","Improve the einsum bench by adding new bench cases and variable rename.","None","True"
"17706","BUG: Raise promotion error if a DType was provided in array coercion","Bug,Regression,Triaged","True"
"17703","Fix Doc Typos & Added Example","None","True"
"17701","BUG: Fixed an issue where `.pyi` files were ignored by numpy sub-packages","Bug,static typing","True"
"17700","Fix small typos.","None","True"
"17699","MAINT: Rename `DtypeLike` to `DTypeLike`","Maintenance,Python API,static typing","True"
"17696","REL: Update master after 1.19.4 release.","Documentation,Release","True"
"17695","TST: use a more standard workflow for PyPy","Testing,PyPy","True"
"17694","MAINT: Bump pytest from 6.0.2 to 6.1.2","Maintenance","False"
"17693","MAINT: Bump pytz from 2020.1 to 2020.4","Maintenance","True"
"17692","MAINT: Bump hypothesis from 5.38.0 to 5.41.0","Maintenance","True"
"17691","DOC: Modify Templates","Documentation","True"
"17689","BUG: Fix small bug in ``make_lite.py``.","Bug","True"
"17683","REL: Prepare for the NumPy 1.19.4 release.","Documentation,Release","True"
"17682","BUG: (nditer_impl.h) Use `intp` instead of `char *` for offset calculation","Bug","True"
"17681","SIMD: Add sum intrinsics for float/double.","Enhancement","True"
"17680","REV: Revert OpenBLAS to 1.19.2 version for 1.19.4","Reversion","True"
"17679","MAINT: Add check for Windows 10 version 2004 bug.","Maintenance","True"
"17678","ENH: Propagate like= downstream","Enhancement","False"
"17675","MAINT: Update release documentation and software","Maintenance,Documentation","True"
"17673","MAINT: Refine a number of `np.generic` annotations","Maintenance,static typing","True"
"17672","DOC: Update README badge for travis-ci.com","Documentation","True"
"17670","DOC: f2py: Add a docstring for getarrlen","Documentation","True"
"17668","TST: Make test suite work in FIPS (140-2) Mode","Testing","True"
"17666","REL: Update master after 1.19.3 release.","Documentation,Release","True"
"17664","testing travis","WIP","False"
"17663","REL: Prepare for the NumPy 1.19.3 release.","Documentation,Release","True"
"17662","TST: f2py: Add a doctest for `getlincoef`","Testing","True"
"17660","TST: Simplify source path names in test_extending.","Maintenance,Testing,Backport","True"
"17658","TST: simplify source path names in compilation test","Maintenance,Testing","True"
"17657","NEP: Ensure inner loop signature is complete everywhere","None","True"
"17654","BUG: f2py incorrectly translates dimension declarations.","Bug","True"
"17653","TST: Add Python 3.9 to the CI testing on Windows, Mac.","Maintenance,Testing","True"
"17652","MAINT: Backport openblas_support from master.","Maintenance,Backport","True"
"17647","BUG: Fix memory leak of buffer-info cache due to relaxed strides","Bug,Backport","True"
"17645","BUG: fix np.timedelta64('nat').__format__ throwing an exception","Bug","True"
"17644","ENH: Add annotations for `np.core.shape_base`","Enhancement,static typing","True"
"17643","ENH: Add annotations for `np.core._ufunc_config`","Enhancement,static typing","True"
"17642","DOC: Fix reference to atleast_1d","Documentation,hacktoberfest-accepted","True"
"17641","MAINT, BLD: update to OpenBLAS v0.3.12","Maintenance","True"
"17639","MAINT: Bump hypothesis from 5.37.3 to 5.38.0","Maintenance","True"
"17638","DOC: Fix some references","Documentation","True"
"17633","DOC: Don't use Python highlighting for non-python code","Documentation","True"
"17630","DOC: Replace ``PyCObject`` with ``PyCapsule``","Documentation","True"
"17629","DOC: Add ``identity_value`` to ``PyUFuncObject``","Documentation","True"
"17628","DOC: Add entries for macros","Documentation","True"
"17627","DOC: Fix the references for ``__array_*__``","Documentation","True"
"17626","DOC: why reformatting PRs will be rejected","Documentation","False"
"17625","MAINT: Conversion of some strings to fstrings, part iv","Maintenance","True"
"17624","DOC: Tidy up references to str_ / bytes_","Documentation","True"
"17623","MAINT: Conversion of some strings to fstrings, part III","Maintenance","True"
"17622","MAINT: Conversion of some strings to fstrings, part II","Maintenance","True"
"17621","TST: Valid docstring for config_py function show()","Testing","True"
"17619","DOC: Fix some references","Documentation","True"
"17618","MAINT: Conversion of some strings to f-strings","Maintenance","True"
"17614","DOC: Fix the document for arrays interface","Documentation","True"
"17613","ENH: Add annotations for 9 `ndarray`/`generic` magic methods","Enhancement,static typing","True"
"17611","BUG: mac dylib treated as part of extra objects by f2py","Bug","True"
"17610","Fully qualify license trove classifier","Maintenance,Documentation","True"
"17609","ENH, BLD: update OpenBLAS to 0.3.11","Enhancement","False"
"17608","DOC: Fix typos (general documentation)","Documentation","True"
"17607","DOC: removed old references to submodule licenses","Documentation","True"
"17603","MAINT: Mark dead code as intentional for clang.","Maintenance","True"
"17601","TST: Fix a broken `np.core.numeric` test","Bug,Testing,static typing","True"
"17598","BUG: Fixed file handle leak in array_tofile.","Bug","True"
"17597","TST: Clean up the errors of the typing tests","Testing,static typing","True"
"17596","DEP,BUG: Coercion/cast of array to a subarray dtype will be fixed","Deprecation","True"
"17594","DOC: Typo in lexsort docstring","Documentation","True"
"17584","ENH: Add annotations for `np.core._type_aliases`","Enhancement,static typing","True"
"17583","MAINT: Bump hypothesis from 5.37.1 to 5.37.3","Maintenance","True"
"17581"," MAINT: Move the `np.core.numerictypes` annotations to their own stub file","Maintenance,static typing","True"
"17580","MAINT: Cleanup swig for Python 3.","Maintenance","True"
"17578","NEP36: include additional feedback","","True"
"17577","BUG: Respect dtype of all-zero argument to poly1d","Bug,Enhancement","True"
"17576","DOC: Fix Boolean array indexing typo","Documentation","True"
"17572","ENH: Add annotations for three new constants","Enhancement,static typing","True"
"17571","DOC: Fix typos","Documentation","True"
"17570","DOC: Add the entry for ``NPY_FEATURE_VERSION``","Documentation","True"
"17568","BUG: Cygwin Workaround for #14787 on affected platforms","Bug,Backport","True"
"17564","MAINT: Update the annotations in `np.core.numeric`","Maintenance,static typing","True"
"17559","DOC: Remove directives for some constants","Documentation","True"
"17558","DOC: MAINT: Add NEP 43 links to NEP 42","Documentation","True"
"17555","DOC: Fix wrong blockquotes","Documentation","True"
"17549","DOC: Fix the entries of C functions","Documentation","True"
"17548","BUG: Cygwin Workaround for #14787 on affected platforms","Bug","True"
"17547","ENH, BUG: call emms after fmod on windows","Bug,Enhancement,Triage-review","False"
"17546","MAINT: explicit disabling `CCompilerOpt` in F2PY","Maintenance","True"
"17545","ENH: Import setuptools with a try/except","Enhancement","False"
