title	plot	Action	Adult	Adventure	Animation	Biography	Comedy	Crime	Documentary	Drama	Family	Fantasy	Game-Show	History	Horror	Music	Musical	Mystery	News	Reality-TV	Romance	Sci-Fi	Short	Sport	Talk-Show	Thriller	War	Western	plot_lang
"""#7DaysLater"" (2013)"	 #7dayslater is an interactive comedy series featuring an ensemble cast of YouTube celebrities. Each week the audience writes the brief via social media for an all-new episode featuring a well-known guest-star. Seven days later that week's episode premieres on TV and across multiple platforms.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""$weepstake$"" (1979) {(#1.1)}"	 This week's ticker buyers are a man who just got out of jail and is on probation needs to try and find a legitimate job, a woman who's separated from her husband who has a girlfriend and a dog whose owner's relatives try to get a piece of what he wins.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""'Allo 'Allo!"" (1982) {The Crooked Fences (#6.6)}"	 Herr Flick is worried about his career in the Gestapo after all the recent cock-ups and feels he has to flee. For this he needs money and he demands René to give him the painting so he can sell it. Von Strohm, Gruber, Helga and Bertorelli also want the painting back and sell it because the escape of the airmen has made them nervous about their futures too. Meanwhile, Crabtree is reunited with an old love!	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	en
"""'Til Death"" (2006) {Doug and Ally Return (#4.1)}"	 Eddie and Joy's free-spirited daughter, Ally, returns from a trek in the Ecuadorian rain forest with her new husband, Doug. When Ally and Doug decide to set up camp in a trailer in the Starks' backyard, they ultimately ruin Eddie's plans for installing a Jacuzzi. Meanwhile, Eddie and Joy attempt to overcome their dislike of Doug and accept him as a member of the family.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	en
"""0511 TV Lokal"" (2007) {Johannes Heesters Ausstellung im Theatermuseum Hannover}"	" Johan Marius Nicolaas Heesters, called ""Jopi(e)"", was born on December 5, 1903 in Amersfoort, Netherlands and died on December 24, 2011 in Starnberg. From 1936 until his death Jopi was living in Germany and working as an actor and singer with Dutch nationality. In his last years he was the world's oldest active performing artist. Over 90 years he was on stage and over 87 years he was in front of the camera."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	en
"""10 Things You Don't Know About"" (2012) {Benjamin Franklin (#1.1)}"	 Benjamin Franklin was a multi-talented American founding father--but he also owned slaves, frequented sex clubs and was a suspected serial killer. In this episode of our new series, maverick historian David Eisenbach uncovers little-known details of Franklin's past, shedding new light on Franklin's eccentric behaviors and how they enabled him to help save the American Revolution.	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""100 Deeds for Eddie McDowd"" (1999) {Sick as a Dog (#2.8)}"	 Justin has to sell licorice for a fund raiser at school, but he can't find anybody to buy for it. While he's busy trying to deal with Eddie and his fear that he has some deadly disease, his family eats up all his candy. Doug and Lisa fret when their van breaks down and they have to buy a new one. It's a chaotic time in the Taylor household!	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
"""101 East"" (2006) {The Orangutan Whisperer}"	" They call him the ""orangutan whisperer"". Leif Cocks is a former zookeeper from Australia who has dedicated his life to reintroducing endangered orangutans into the wild, something previously thought impossible. At a jungle school in Sumatra, Indonesia, rescued orangutans practice climbing, foraging and fending for themselves in the forests. Cocks has successfully reintroduced 180 of these animals and plans to save 8,000 more over the next decade. ""My goal is to save enough habitat that we can have 8,000 orangutans protected in reserves that we are looking after. And that will secure the species. That's my goal. That's at least a decent way of spending one's life."" So can Leif Cocks and his jungle schools help to save the endangered species from extinction?"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	en
"""12 O'Clock High"" (1964) {Faith, Hope and Sergeant Aronson (#1.19)}"	 Gen. Savage returns from a mission gravely wounded, requiring a delicate operation to remove shrapnel endangering his heart; an operation Dr. Kaiser doesn't feel confident to perform. While waiting for a specialist, Savage is placed in a ward next to Sgt. Aaronson who has just lost his lifetime friend to battle wounds and is also quickly losing his faith in God. Savage tries to talk him out of his closing shell, but the Sergeant slips deeper into melancholy, that is until he meets someone who could use a little of his disappearing faith.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	en
"""12 O'Clock High"" (1964) {V for Vendetta (#1.29)}"	 Gen. Hoagland, a strictly by-the-book desk jockey, visits the 918th to evaluate Gen. Savage's performance, but he arrives with a headstrong bias because Savage has a reputation for improvised tactics to deal with the randomness of war, as well as an apparent obsession with an especially dangerous target deep within Germany. Sparks fly from the moment Hoagland lands hellbent on getting Savage fired. In an effort to show Hoagland the vagaries of combat, Savage invites him to tag along on a mission. And then the unthinkable; Hoagland is killed in a manner that casts suspicion on Savage. If the looming inquiry is not enough of a distraction, Savage also has to deal with a mentally unstable pilot who has lost confidence in himself and his commander, and may provide information that could cast a very dark shadow on the investigation.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	en
"""17 Kids and Counting"" (2008) {A Surgery & a Secret (#11.12)}"	 Josh and Anna head down to Florida to visit Anna's family and meet the latest family addition, her newborn nephew Paul. And after several weeks of training, trainer Steve pushes Jim Bob and Josh to their max, all leading up to the final weigh-in.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	en
"""17 Kids and Counting"" (2008) {Josh & Anna: Our Story (#12.10)}"	 They may not have 19 kids, but with 3 and counting, Josh & Anna Duggar have quite the story to tell. Watch as we take a look back at their defining moments from courtship to marriage with never before seen footage of Josh and Anna through the years.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	en
"""1967 World Series"" (1967)"	" The 1967 World Series was won by the heavily favored St. Louis Cardinals, who had won the Series in 1964, in seven games over the stout-hearted resistance of the Boston Red Sox, led by Triple Crown winner 'Carl Yastrzemski' (qv) and American League Cy Young Award winner 'Jim Lonborg' (qv). The seventh and deciding game was won by Hall of Fame pitcher Bob Gibson, who racked up his third win in the Series (and fifth-straight win going back to the '64 Series against the Yankees). Adding insult to injury, the amazing Gibson slugged two home runs in the seventh game, putting an end to the Red Sox's ""Impossible Dream"" season."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	en
"""2 Guys and a Couch"" (2013)"	 This show revolves around two roommates (Korey and Mike). They don't really like to do much outside their apartments and spend their days pretty evenly between television and arguing about the every changing society around them. This is a show set in Los Angeles that leans on the the simplicity situational comedies and grounded in the characters that create it.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	en
